,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
46,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.03211925089507023,0.036353621591847976,0.0255783530707794,0.7963558413719186,21.905818636526035,1.0,0.024410701977926393,4.732010900288453,0.9860202604712571,0.5963081861958267,0.7886733523925226,0.7499771631102017
47,frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.036353621591847976,0.03211925089507023,0.0255783530707794,0.7035984848484849,21.905818636526032,1.0,0.024410701977926393,3.2654379266926705,0.9903529445251998,0.5963081861958267,0.6937623612974849,0.7499771631102017
45,frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.034391352244560726,0.038143762049022305,0.023134122831175986,0.6726726726726727,17.635194761548554,1.0,0.02182230727461535,2.938514928786015,0.9768918423371343,0.4682926829268293,0.659692047093622,0.6395854338092606
44,frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.038143762049022305,0.034391352244560726,0.023134122831175986,0.6064981949458484,17.635194761548554,1.0,0.02182230727461535,2.453886196589511,0.9807029092954289,0.4682926829268293,0.5924831390347964,0.6395854338092606
57,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.035837234921509226,0.03938309005783531,0.024166896171853483,0.6743515850144092,17.122871364946292,1.0,0.022755515121515885,2.9498590066365584,0.9765971205611296,0.47336480107889417,0.6610007469000343,0.6439939743253864
56,frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.03938309005783531,0.035837234921509226,0.024166896171853483,0.6136363636363636,17.122871364946292,1.0,0.022755515121515885,2.495480097850211,0.9802019622833843,0.47336480107889417,0.599275505798875,0.6439939743253864
25,frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),0.04031258606444506,0.06258606444505646,0.028125860644450565,0.6976942783945346,11.147757645106953,1.0,0.025602854535074323,3.100880560832878,0.9485337078525886,0.3761510128913444,0.6775109584577467,0.573544608944242
24,frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),0.06258606444505646,0.04031258606444506,0.028125860644450565,0.4493949394939494,11.147757645106951,1.0,0.025602854535074323,1.7429687497850537,0.9710713982301363,0.3761510128913444,0.4262662482483855,0.573544608944242
52,frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.05232718259432663,0.03790278160286423,0.02141283393004682,0.4092105263157895,10.796319135713945,1.0,0.019429488156280858,1.6284941781332365,0.9574779633902132,0.31115557778889447,0.385935784464202,0.4870757445384579
53,frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.03790278160286423,0.05232718259432663,0.02141283393004682,0.5649409627611263,10.796319135713945,1.0,0.019429488156280858,2.1782625719491575,0.9431228173401719,0.31115557778889447,0.5409185224602294,0.4870757445384579
